,batch_size,angular,arch,examples_per_sec,cpu
0,1,False,AtomicResNN,80.77845230153419,False
1,50,True,AtomicResNN,437.56326530612245,True
2,25,True,AtomicResNN,1162.377551020408,False
3,50,True,AtomicResNN,2328.011902113459,False
4,1,True,AtomicResNN,101.91224489795914,True
5,100,True,AtomicNN,2616.562437395657,False
6,50,False,AtomicResNN,5916.527719883287,False
7,25,True,AtomicResNN,361.1408163265306,True
8,100,True,AtomicResNN,2660.884307178634,False
9,100,True,AtomicResNN,520.7925925925925,True
10,25,False,AtomicResNN,2258.008163265306,True
11,100,False,AtomicResNN,4160.29387755102,True
12,1,True,AtomicResNN,65.96737825216812,False
13,50,False,AtomicResNN,3241.042857142858,True
14,100,False,AtomicResNN,10387.767683841908,False
15,25,False,AtomicResNN,1838.4040816326528,False
16,1,False,AtomicResNN,159.67346938775512,True